DATE,TEMP,MAXTEMP,MINTEMP,NTEMP,HUM,NHUM,WS,MAXWS,NWS
2002-01-01,1.8,3.5,-0.6,6,0.36,6,6.6,8,6
2002-01-02,0.6,6.4,-4.4,7,0.363,7,2,6,7
2002-01-03,0.1,3.8,-3.4,4,0.506,4,3,6,4
2002-01-04,-1.4,1.4,-4.1,6,0.333,6,5.5,8,4
2002-01-05,0.8,7.7,-3,5,0.288,5,5,6,5
2002-01-06,5.6,12.1,1,6,0.325,6,4.2,6,6
2002-01-07,4.4,12,-2.9,6,0.492,6,3.2,6,6
2002-01-08,,,,,,,,,
2002-01-09,4.2,11.3,-0.7,6,0.596,6,1.2,3,6
2002-01-10,5.5,14.1,-1,4,0.574,4,0.3,1,4
2002-01-11,4,13.8,-2.5,7,0.664,7,0.3,1,7
2002-01-12,4.1,13.2,-2.6,7,0.654,7,0.4,1,7
2002-01-13,2.9,11.8,-3.1,7,0.694,7,0.3,1,7
2002-01-14,2.7,8.4,-3.1,7,0.689,7,0.6,2,7
2002-01-15,4.1,8.2,2.1,6,0.711,6,0.2,1,6
2002-01-16,5.2,6.8,3.6,4,0.865,4,1,2,4
2002-01-17,4.7,5.7,3,6,0.927,6,1,2,6
2002-01-18,6.4,8.3,4,5,0.848,5,0,,5
2002-01-19,6.5,11.8,2.7,7,0.82,7,0.4,2,7
2002-01-20,6.7,13.4,2.2,5,0.781,5,0.6,2,5
2002-01-21,5.9,11.6,-0.6,6,0.664,6,0.5,1,6
2002-01-22,7.8,14.5,3.5,7,0.692,7,0.6,2,7
2002-01-23,7.6,14.4,1.8,6,0.712,6,0.7,2,6
2002-01-24,8,10.6,2.3,4,0.779,4,0,,4
2002-01-25,9.4,12.3,6.7,6,0.881,6,0.5,2,6
2002-01-26,8.6,16.3,1.6,6,0.695,6,0.5,2,6
2002-01-27,10.2,21.2,2.6,6,0.639,6,0.3,1,6
2002-01-28,10.2,18.2,5.4,5,0.707,5,0.2,1,5
2002-01-29,11.3,21,3.3,7,0.645,7,0.4,2,7
2002-01-30,8.3,17.9,0.3,7,0.837,6,0.5,2,6
2002-01-31,8.6,13.4,4.5,7,0.82,7,0.3,1,7
2002-02-01,10.3,11.5,9.5,6,0.858,6,0.2,1,6
2002-02-02,12.6,18.8,8.3,7,0.529,7,2,5,7
2002-02-03,11.2,19.5,2.9,7,0.482,7,0.6,2,7
2002-02-04,,,,,,,,,
2002-02-05,7.4,11.4,3.4,6,0.725,6,0.5,2,6
2002-02-06,9.3,11.7,7.4,5,0.863,5,0.2,1,5
2002-02-07,10.9,12.1,8.9,4,0.885,4,1,2,4
2002-02-08,11.9,19.8,6.2,7,0.69,7,0.4,2,7
2002-02-09,11.8,20.3,5.3,7,0.593,7,0.7,2,7
2002-02-10,7.6,12.6,3.9,4,0.707,4,0.3,1,4
2002-02-11,13.3,15,11.1,4,0.339,4,4.3,5,4
2002-02-12,11.2,15.4,3.3,4,0.441,4,0.8,2,4
2002-02-13,9.3,17.1,2.1,6,0.569,6,0.7,2,6
2002-02-14,11.2,18.1,3,5,0.573,5,1,2,5
2002-02-15,8.6,17.5,4.7,5,0.728,5,0.8,2,5
2002-02-16,,,,,,,,,
2002-02-17,,,,,,,,,
2002-02-18,,,,,,,,,
